DV: Entry_Speed
F1: Layout, Opti, Qwerty
F2: Phrase, P1, P2, P3, P4, P5
F3: Group
8.75	10.91	11.03	12.55	16.28	22.77	33.08	31.27	39.45	41.48 1
8.90	8.75	10.32	10.98	10.32	25.80	36.86	36.86	46.91	43.00 1
6.79	9.21	10.53	11.47	12.00	22.43	28.67	30.35	30.35	32.25 1
7.37	8.60	9.05	9.56	10.98	13.13	15.88	17.92	17.79	17.26 1
7.37	11.22	13.58	12.29	12.90	25.80	30.35	32.25	30.35	34.40 1
13.61	14.02	17.73	18.63	21.41	36.34	36.86	45.66	46.91	44.87 1
11.15	12.98	13.22	12.56	16.33	23.64	29.24	32.99	33.51	36.99 1
10.42	10.93	14.33	15.64	17.09	32.25	32.45	37.39	38.22	37.39 1
10.05	13.83	14.81	17.65	22.09	30.82	33.88	37.75	38.80	43.22 1
8.66	11.05	12.22	13.12	16.72	20.98	22.48	27.02	25.06	27.92 2
7.37	9.38	10.53	10.98	11.73	20.64	25.80	34.40	34.40	32.25 2
5.80	8.60	12.59	10.12	11.47	21.50	30.35	34.40	36.86	39.69 2
7.07	12.93	18.56	17.85	23.45	24.81	24.11	27.30	29.49	30.00 2
11.32	10.53	13.03	12.88	16.10	25.80	27.89	28.67	34.40	28.60 2
9.65	10.92	11.07	14.38	13.91	22.54	27.13	26.90	27.53	33.79 2
9.58	11.84	13.64	14.56	14.45	23.42	26.60	27.04	29.57	28.52 2
15.04	18.97	22.83	24.51	21.59	39.09	43.73	51.60	51.09	48.22 2
11.54	14.73	12.59	16.08	16.65	25.96	31.16	27.85	33.95	34.47 2
